epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.27131,0.7764,2.41395,1.14958,0.00333,1,0.97214,0.95845,0.16077,2.55925,0.68508,0.0001,0.0001,0.0001
2,10.1256,0.45422,2.03327,1.01415,0.00333,1,0.995,0.995,0.12753,2.52159,0.65454,0.00017644,0.00017644,0.00017644
3,14.4341,0.42255,1.70168,1.0513,0.00333,1,0.995,0.96786,0.2292,2.45499,0.67278,0.00020536,0.00020536,0.00020536
4,19.072,0.38454,1.47188,0.96891,0.00333,1,0.995,0.96786,0.21912,2.3265,0.68645,0.00018676,0.00018676,0.00018676
5,23.4149,0.32852,1.28657,0.96509,0.01493,1,0.995,0.995,0.20415,2.26602,0.68841,0.00012064,0.00012064,0.00012064
